metric	bin	count	fraction
best_identity	[0.0, 0.05)	2145	0.4677278674225905
best_identity	[0.05, 0.1)	0	0.0
best_identity	[0.1, 0.15)	5	0.0010902747492368076
best_identity	[0.15, 0.2)	10	0.002180549498473615
best_identity	[0.2, 0.25)	33	0.00719581334496293
best_identity	[0.25, 0.3)	54	0.011774967291757523
best_identity	[0.3, 0.35)	63	0.013737461840383776
best_identity	[0.35, 0.4)	75	0.016354121238552115
best_identity	[0.4, 0.45)	37	0.008068033144352376
best_identity	[0.45, 0.5)	38	0.008286088094199739
best_identity	[0.5, 0.55)	13	0.0028347143480157
best_identity	[0.55, 0.6)	21	0.004579153946794592
best_identity	[0.6, 0.65)	30	0.0065416484954208464
best_identity	[0.65, 0.7)	41	0.008940252943741823
best_identity	[0.7, 0.75)	37	0.008068033144352376
best_identity	[0.75, 0.8)	59	0.01286524204099433
best_identity	[0.8, 0.85)	104	0.0226777147841256
best_identity	[0.85, 0.9)	162	0.03532490187527257
best_identity	[0.9, 0.95)	307	0.06694286960313998
best_identity	[0.95, 1.0)	483	0.10532054077627562
