metric	bin	count	fraction
best_query_cov	[0.0, 0.05)	2155	0.4699084169210641
best_query_cov	[0.05, 0.1)	50	0.010902747492368076
best_query_cov	[0.1, 0.15)	89	0.019406890536415176
best_query_cov	[0.15, 0.2)	105	0.022895769733972962
best_query_cov	[0.2, 0.25)	163	0.03554295682511993
best_query_cov	[0.25, 0.3)	158	0.034452682075883125
best_query_cov	[0.3, 0.35)	237	0.05167902311382468
best_query_cov	[0.35, 0.4)	283	0.061709550806803314
best_query_cov	[0.4, 0.45)	291	0.06345399040558221
best_query_cov	[0.45, 0.5)	254	0.05538595726122983
best_query_cov	[0.5, 0.55)	183	0.03990405582206716
best_query_cov	[0.55, 0.6)	137	0.02987352812908853
best_query_cov	[0.6, 0.65)	120	0.026166593981683386
best_query_cov	[0.65, 0.7)	97	0.021151330135194067
best_query_cov	[0.7, 0.75)	92	0.02006105538595726
best_query_cov	[0.75, 0.8)	53	0.01155691234191016
best_query_cov	[0.8, 0.85)	53	0.01155691234191016
best_query_cov	[0.85, 0.9)	38	0.008286088094199739
best_query_cov	[0.9, 0.95)	23	0.005015263846489315
best_query_cov	[0.95, 1.0)	5	0.0010902747492368076
