metric	value
total_reads	4586.0
explained_reads	620.0
reads_explained_fraction	0.13519406890536415
mapped_to_human_reads	2441.0
mapped_to_human_fraction	0.5322721325774095
total_bases	2527538.0
explained_bases	358293.0
bases_explained_fraction	0.14175573225803134
min_query_cov	0.5
min_identity	0.8
best_identity_quantile_0.1	0.0
best_query_cov_quantile_0.1	0.0
best_identity_quantile_0.25	0.0
best_query_cov_quantile_0.25	0.0
best_identity_quantile_0.5	0.33574035453597495
best_query_cov_quantile_0.5	0.14986718814694022
best_identity_quantile_0.75	0.970919153706039
best_query_cov_quantile_0.75	0.43332414553472987
best_identity_quantile_0.9	1.0
best_query_cov_quantile_0.9	0.6066602316602316
