query_cov_threshold	identity_threshold	explained_reads	explained_fraction
0.3	0.7	1541	0.3360226777147841
0.3	0.75	1512	0.3296990841692106
0.3	0.8	1465	0.31945050152638466
0.3	0.85	1393	0.3037505451373746
0.3	0.9	1260	0.27474923680767555
0.3	0.95	997	0.21740078499781945
0.35	0.7	1346	0.29350196249454863
0.35	0.75	1319	0.28761447884866986
0.35	0.8	1277	0.2784561709550807
0.35	0.85	1216	0.26515481901439164
0.35	0.9	1090	0.23767989533362407
0.35	0.95	850	0.1853467073702573
0.4	0.7	1115	0.24313126907980812
0.4	0.75	1092	0.2381160052333188
0.4	0.8	1057	0.23048408198866113
0.4	0.85	1011	0.2204535542956825
0.4	0.9	903	0.19690361971216747
0.4	0.95	694	0.1513301351940689
0.45	0.7	860	0.18752725686873092
0.45	0.75	841	0.18338421282163106
0.45	0.8	816	0.17793283907544702
0.45	0.85	784	0.17095508068033144
0.45	0.9	699	0.15242040994330572
0.45	0.95	530	0.11556912341910161
0.5	0.7	651	0.14195377235063236
0.5	0.75	638	0.13911905800261665
0.5	0.8	620	0.13519406890536415
0.5	0.85	593	0.12930658525948538
0.5	0.9	530	0.11556912341910161
0.5	0.95	404	0.08809419973833406
0.55	0.7	490	0.10684692542520716
0.55	0.75	480	0.10466637592673354
0.55	0.8	469	0.10226777147841257
0.55	0.85	451	0.09834278238116005
0.55	0.9	404	0.08809419973833406
0.55	0.95	302	0.06585259485390318
0.6	0.7	379	0.08264282599215002
0.6	0.75	369	0.0804622764936764
0.6	0.8	361	0.07871783689489752
0.6	0.85	347	0.07566506759703445
0.6	0.9	310	0.06759703445268207
0.6	0.95	232	0.05058874836458788
0.65	0.7	284	0.061927605756650676
0.65	0.75	277	0.060401221107719144
0.65	0.8	273	0.0595290013083297
0.65	0.85	261	0.05691234191016136
0.65	0.9	232	0.05058874836458788
0.65	0.95	171	0.03728739642389882
0.7	0.7	218	0.04753597906672481
0.7	0.75	212	0.04622764936764064
0.7	0.8	209	0.04557348451809856
0.7	0.85	198	0.043174880069777585
0.7	0.9	175	0.03815961622328827
0.7	0.95	124	0.02703881378107283
0.75	0.7	143	0.0311818578281727
0.75	0.75	139	0.030309638028783253
0.75	0.8	136	0.02965547317924117
0.75	0.85	130	0.028347143480157
0.75	0.9	116	0.02529437418229394
0.75	0.95	75	0.016354121238552115
0.8	0.7	103	0.022459659834278237
0.8	0.75	102	0.022241604884430877
0.8	0.8	99	0.021587440034888793
0.8	0.85	94	0.020497165285651986
0.8	0.9	83	0.018098560837331006
0.8	0.95	52	0.0113388573920628
0.85	0.7	57	0.012429132141299608
0.85	0.75	56	0.012211077191452245
0.85	0.8	54	0.011774967291757523
0.85	0.85	52	0.0113388573920628
0.85	0.9	47	0.010248582642825993
0.85	0.95	28	0.006105538595726123
0.9	0.7	24	0.005233318796336677
0.9	0.75	24	0.005233318796336677
0.9	0.8	23	0.005015263846489315
0.9	0.85	23	0.005015263846489315
0.9	0.9	18	0.0039249890972525075
0.9	0.95	11	0.002398604448320977
