metric	bin	count	fraction
best_query_cov	[0.0, 0.05)	3570	0.9001512859304085
best_query_cov	[0.05, 0.1)	16	0.004034291477559254
best_query_cov	[0.1, 0.15)	23	0.005799293998991427
best_query_cov	[0.15, 0.2)	23	0.005799293998991427
best_query_cov	[0.2, 0.25)	35	0.008825012607160867
best_query_cov	[0.25, 0.3)	32	0.008068582955118508
best_query_cov	[0.3, 0.35)	44	0.011094301563287948
best_query_cov	[0.35, 0.4)	28	0.0070600100857286935
best_query_cov	[0.4, 0.45)	30	0.007564296520423601
best_query_cov	[0.45, 0.5)	25	0.006303580433686334
best_query_cov	[0.5, 0.55)	18	0.0045385779122541605
best_query_cov	[0.55, 0.6)	10	0.0025214321734745334
best_query_cov	[0.6, 0.65)	25	0.006303580433686334
best_query_cov	[0.65, 0.7)	15	0.0037821482602118004
best_query_cov	[0.7, 0.75)	19	0.004790721129601614
best_query_cov	[0.75, 0.8)	15	0.0037821482602118004
best_query_cov	[0.8, 0.85)	15	0.0037821482602118004
best_query_cov	[0.85, 0.9)	7	0.0017650025214321734
best_query_cov	[0.9, 0.95)	8	0.002017145738779627
best_query_cov	[0.95, 1.0)	8	0.002017145738779627
