transcript_id	gene_id	gene_name	transcript_name	biotype	mapped_reads	explained_reads	mean_best_identity	mean_best_query_cov
ENST00000389680.2	ENSG00000211459.2	MT-RNR1	MT-RNR1-201	Mt_rRNA	117	42	0.9489960153678488	0.4689438788501193
ENST00000631211.1	ENSG00000280800.1	ENSG00000280800	ENST00000631211	lncRNA	80	38	0.9525089538638613	0.48263169820017565
ENST00000627981.1	ENSG00000281181.1	ENSG00000281181	ENST00000627981	lncRNA	78	37	0.9504948786481189	0.4949163123784348
ENST00000673528.1	ENSG00000288444.1	ENSG00000288444	ENST00000673528	lncRNA	75	37	0.950837137486833	0.49991308812597757
ENST00000673221.1	ENSG00000288254.1	ENSG00000288254	ENST00000673221	lncRNA	82	27	0.9560901810968159	0.4521212510383908
ENST00000387347.2	ENSG00000210082.2	MT-RNR2	MT-RNR2-201	Mt_rRNA	85	25	0.9476308608867793	0.4533804959336621
ENST00000625598.1	ENSG00000280614.1	ENSG00000280614	ENST00000625598	lncRNA	55	23	0.9409735848205236	0.5009174025951565
ENST00000629969.1	ENSG00000281383.1	ENSG00000281383	ENST00000629969	lncRNA	36	12	0.9741875286156024	0.4120413663377744
ENST00000849367.1	ENSG00000310376.1	ENSG00000310376	ENST00000849367	lncRNA	87	9	0.9560306197026293	0.3175154708095968
ENST00000361624.2	ENSG00000198804.2	MT-CO1	MT-CO1-201	protein_coding	7	4	0.9665575298631552	0.5395302539300625
ENST00000361381.2	ENSG00000198886.2	MT-ND4	MT-ND4-201	protein_coding	13	3	0.9609638577468469	0.3527448484232761
ENST00000361567.2	ENSG00000198786.2	MT-ND5	MT-ND5-201	protein_coding	11	3	0.9063313095270061	0.4775188287677843
ENST00000636484.1	ENSG00000283293.1	RN7SK	RN7SK-201	snRNA	7	3	0.9654491734824876	0.4555122991204105
ENST00000361899.2	ENSG00000198899.2	MT-ATP6	MT-ATP6-201	protein_coding	8	2	0.9098439720965958	0.4065446490210875
ENST00000233242.5	ENSG00000084674.15	APOB	APOB-201	protein_coding	6	2	0.9483381728522717	0.505048535884999
ENST00000361453.3	ENSG00000198763.3	MT-ND2	MT-ND2-201	protein_coding	4	2	0.7922820549247771	0.5267258878610597
ENST00000707961.1	ENSG00000291544.1	APOB	APOB-205	protein_coding	4	2	0.9538396402113137	0.4545576755870609
ENST00000381395.5	ENSG00000167244.22	IGF2	IGF2-203	protein_coding	3	2	0.933292361061748	0.5399516203875311
ENST00000717968.1	ENSG00000245532.13	NEAT1	NEAT1-210	lncRNA	3	2	0.9739639026603156	0.4988968225475465
ENST00000484074.5	ENSG00000102531.16	FNDC3A	FNDC3A-203	nonsense_mediated_decay	2	2	0.9603174603174602	0.8152173913043479
ENST00000434425.5	ENSG00000133119.13	RFC3	RFC3-202	protein_coding	2	2	0.9845237416633414	0.7866256550467077
ENST00000710879.1	ENSG00000251562.13	MALAT1	MALAT1-243	lncRNA	2	2	0.9732510288065843	0.7163441195465782
ENST00000403162.7	ENSG00000108588.15	CCDC47	CCDC47-202	protein_coding	2	2	1.0	0.6608258019471704
ENST00000679161.1	ENSG00000106682.16	EIF4H	EIF4H-212	retained_intron	2	2	0.9657419259094366	0.5532495377250399
ENST00000619449.4	ENSG00000251562.13	MALAT1	MALAT1-214	lncRNA	3	1	0.963389918350185	0.6172900946462758
ENST00000701490.2	ENSG00000289901.2	ENSG00000289901	ENST00000701490	lncRNA	3	1	0.9971509971509972	0.5395150609804593
ENST00000295897.9	ENSG00000163631.19	ALB	ALB-201	protein_coding	3	1	0.9261243213425079	0.5064163984263234
ENST00000361681.2	ENSG00000198695.2	MT-ND6	MT-ND6-201	protein_coding	3	1	0.970969089390142	0.42915022654795876
ENST00000254630.12	ENSG00000132300.19	PTCD3	PTCD3-201	protein_coding	3	1	0.8296543282826151	0.42149976998464517
ENST00000534336.4	ENSG00000251562.13	MALAT1	MALAT1-202	lncRNA	3	1	0.9519154298226588	0.3702392588297172
ENST00000371142.9	ENSG00000077147.16	TM9SF3	TM9SF3-201	protein_coding	2	1	0.9210129151022567	0.6799060702978613
